batch_size = 64
block_size = 640
max_iters = 30000
eval_interval = 200
eval_iters = 200
learning_rate = 3e-4
n_embd = 512
n_head = 8
n_layer = 8
dropout = 0.2

81659729

 !"#$%&'()*+,-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_`abcdefghijklmnopqrstuvwxyz{|}£§®°·¹½¾ÀÁÄÆÇÈÉÊÔ×ÜßàáâãäæçèéêëîïñòôöùûüōŒœŭΑΔΗΘΙΚΜΝΤάέίαβγδεηθικλμνξοπρςστυφχωόώϰוחἀἐἑἒἴἶὐὑὰάὲέὶ᾽ῖῦῳῶ‎‏–—‘’“”„•…′″・
220
torch.Size([81659729]) torch.int64
iter 0, loss: 5.5172, val loss: 5.5154
iter 200, loss: 2.4789, val loss: 2.4646
iter 400, loss: 2.4243, val loss: 2.4190
iter 600, loss: 2.1996, val loss: 2.1920
iter 800, loss: 1.9226, val loss: 1.8966
iter 1000, loss: 1.7456, val loss: 1.7059
iter 1200, loss: 1.6291, val loss: 1.5861
iter 1400, loss: 1.5437, val loss: 1.5041
iter 1600, loss: 1.4792, val loss: 1.4322
iter 1800, loss: 1.4304, val loss: 1.3871
iter 2000, loss: 1.3945, val loss: 1.3510
iter 2200, loss: 1.3608, val loss: 1.3215
iter 2400, loss: 1.3360, val loss: 1.2960
iter 2600, loss: 1.3107, val loss: 1.2714
iter 2800, loss: 1.2919, val loss: 1.2544
iter 3000, loss: 1.2750, val loss: 1.2374
iter 3200, loss: 1.2651, val loss: 1.2287
iter 3400, loss: 1.2480, val loss: 1.2171
iter 3600, loss: 1.2347, val loss: 1.2004
iter 3800, loss: 1.2219, val loss: 1.1960
iter 4000, loss: 1.2113, val loss: 1.1858
iter 4200, loss: 1.1990, val loss: 1.1741
iter 4400, loss: 1.1867, val loss: 1.1682
iter 4600, loss: 1.1800, val loss: 1.1612
iter 4800, loss: 1.1738, val loss: 1.1521
iter 5000, loss: 1.1634, val loss: 1.1447
iter 5200, loss: 1.1576, val loss: 1.1387
iter 5400, loss: 1.1494, val loss: 1.1343
iter 5600, loss: 1.1455, val loss: 1.1313
iter 5800, loss: 1.1396, val loss: 1.1264
iter 6000, loss: 1.1330, val loss: 1.1220
iter 6200, loss: 1.1298, val loss: 1.1171
iter 6400, loss: 1.1269, val loss: 1.1138
iter 6600, loss: 1.1210, val loss: 1.1087
iter 6800, loss: 1.1169, val loss: 1.1059
iter 7000, loss: 1.1124, val loss: 1.1012
iter 7200, loss: 1.1108, val loss: 1.0995
iter 7400, loss: 1.1059, val loss: 1.0971
iter 7600, loss: 1.1005, val loss: 1.0918
iter 7800, loss: 1.0991, val loss: 1.0910
iter 8000, loss: 1.0949, val loss: 1.0853
iter 8200, loss: 1.0938, val loss: 1.0838
iter 8400, loss: 1.0926, val loss: 1.0825
iter 8600, loss: 1.0880, val loss: 1.0791
iter 8800, loss: 1.0826, val loss: 1.0757
iter 9000, loss: 1.0827, val loss: 1.0757
iter 9200, loss: 1.0755, val loss: 1.0696
iter 9400, loss: 1.0808, val loss: 1.0694
iter 9600, loss: 1.0766, val loss: 1.0683
iter 9800, loss: 1.0720, val loss: 1.0663
iter 10000, loss: 1.0715, val loss: 1.0623
iter 10200, loss: 1.0664, val loss: 1.0615
iter 10400, loss: 1.0661, val loss: 1.0589
iter 10600, loss: 1.0622, val loss: 1.0567
iter 10800, loss: 1.0616, val loss: 1.0550
iter 11000, loss: 1.0609, val loss: 1.0544
iter 11200, loss: 1.0606, val loss: 1.0527
iter 11400, loss: 1.0556, val loss: 1.0488
iter 11600, loss: 1.0537, val loss: 1.0465
iter 11800, loss: 1.0534, val loss: 1.0447
iter 12000, loss: 1.0502, val loss: 1.0429
iter 12200, loss: 1.0489, val loss: 1.0428
iter 12400, loss: 1.0467, val loss: 1.0411
iter 12600, loss: 1.0433, val loss: 1.0406
iter 12800, loss: 1.0481, val loss: 1.0423
iter 13000, loss: 1.0432, val loss: 1.0382
iter 13200, loss: 1.0422, val loss: 1.0360
iter 13400, loss: 1.0410, val loss: 1.0322
iter 13600, loss: 1.0372, val loss: 1.0307
iter 13800, loss: 1.0373, val loss: 1.0317
iter 14000, loss: 1.0355, val loss: 1.0299
iter 14200, loss: 1.0337, val loss: 1.0289
iter 14400, loss: 1.0353, val loss: 1.0285
iter 14600, loss: 1.0332, val loss: 1.0299
iter 14800, loss: 1.0312, val loss: 1.0287
iter 15000, loss: 1.0288, val loss: 1.0226
iter 15200, loss: 1.0259, val loss: 1.0210
iter 15400, loss: 1.0245, val loss: 1.0213
iter 15600, loss: 1.0234, val loss: 1.0200
iter 15800, loss: 1.0239, val loss: 1.0174
iter 16000, loss: 1.0219, val loss: 1.0174
iter 16200, loss: 1.0207, val loss: 1.0160
iter 16400, loss: 1.0194, val loss: 1.0165
iter 16600, loss: 1.0185, val loss: 1.0166
iter 16800, loss: 1.0143, val loss: 1.0164
iter 17000, loss: 1.0159, val loss: 1.0112
iter 17200, loss: 1.0134, val loss: 1.0112
iter 17400, loss: 1.0132, val loss: 1.0095
iter 17600, loss: 1.0116, val loss: 1.0080
iter 17800, loss: 1.0115, val loss: 1.0096
iter 18000, loss: 1.0100, val loss: 1.0075
iter 18200, loss: 1.0111, val loss: 1.0089
